

 tanh_sinh
===============
 float
---------------
 k_max = 3.48552
 h     = 0.0544612
      0.0853813       0.497091
       0.169774       0.488472
       0.252223       0.474455
       0.331847       0.455538
       0.407861       0.432374
       0.479603       0.405728
       0.546546       0.376434
       0.608313       0.345349
       0.664667       0.313313
       0.715516        0.28111
       0.760891       0.249443
       0.800938       0.218911
       0.835893           0.19
       0.866068       0.163081
       0.891826       0.138408
       0.913566       0.116132
       0.931705      0.0963116
       0.946662      0.0789235
       0.958846      0.0638818
       0.968648      0.0510505
       0.976431      0.0402579
       0.982529      0.0313095
       0.987239      0.0239985
       0.990822      0.0181155
       0.993507      0.0134561
       0.995486     0.00982653
       0.996918     0.00704798
       0.997937     0.00495967
       0.998647     0.00342035
       0.999131     0.00230881
       0.999455     0.00152351
       0.999667    0.000981391
       0.999801    0.000616235
       0.999885    0.000376606
       0.999935    0.000223645
       0.999964    0.000128831
       0.999981    7.18586e-05
        0.99999    3.87357e-05
       0.999995    2.01394e-05
       0.999998    1.00778e-05
       0.999999    4.84283e-06
              1    2.22963e-06
              1    9.81049e-07
              1    4.11473e-07
              1    1.64055e-07
              1    6.19985e-08
              1    2.21404e-08
              1    7.44739e-09
              1     2.3516e-09
              1    6.94546e-10
              1    1.91151e-10
              1    4.88264e-11
              1    1.15269e-11
              1    2.50383e-12
              1    4.98084e-13
              1    9.02925e-14
              1    1.48382e-14
              1    2.19831e-15
              1    2.91911e-16
              1    3.45297e-17
              1    3.61483e-18
              1    3.32631e-19
              1    2.67099e-20
              1    1.85736e-21
 double
---------------
 k_max = 5.56495888501779
 h     = 0.0869524825784029
       0.135910587253423       0.492620594039867
       0.267851912872196       0.471163674056257
       0.392216503590633       0.437559603497934
       0.506061143425548       0.394676560629581
       0.607305732671061        0.34588879041786
       0.694808899600435       0.294622376328736
       0.768326781828763       0.243966562704246
       0.828381414791641       0.196406702608172
       0.876075152275288       0.153695989164631
       0.912887543449852        0.11685071224128
       0.940484017396185      0.0862349884680881
       0.960555477900501      0.0616960538616773
       0.974697806353845      0.0427162553514065
       0.984332295005984      0.0285575813965948
        0.99066283870413      0.0183846678470131
        0.99466303378831       0.011360283535492
       0.997085483511854     0.00671262470558476
       0.998485876074332     0.00377671349847365
        0.99925524981329     0.00201363484587602
       0.999654984613793      0.0010120347725229
       0.999850324041564    0.000476687514034949
       0.999939573351007    0.000209091478559799
       0.999977452449775    8.48197432935613e-05
       0.999992281521801    3.15825060261821e-05
       0.999997595603261    1.07061383748892e-05
       0.999999324396534    3.27488178007088e-06
       0.999999830402893    8.95239106331755e-07
        0.99999996236043    2.16421376394343e-07
       0.999999992698292     4.5741919306903e-08
        0.99999999877716    8.34791035639855e-09
       0.999999999825575    1.29779428675471e-09
       0.999999999979119    1.69351424732297e-10
       0.999999999997936    1.82533666476313e-11
       0.999999999999834    1.59682522600832e-12
       0.999999999999989    1.11233712944678e-13
                       1    6.04277988965974e-15
                       1    2.50264247327529e-16
                       1    7.70853767517888e-18
                       1    1.71883201114757e-19
                       1    2.69400920659187e-21
                       1    2.87426613955489e-23
                       1    2.01563436447827e-25
                       1    8.94271706723246e-28
                       1    2.40775477016041e-30
                       1    3.75933648707278e-33
                       1    3.23927119688299e-36
                       1    1.45931331071733e-39
                       1    3.24050173527502e-43
                       1    3.32591761514764e-47
                       1    1.47090169717389e-51
                       1    2.59657021118526e-56
                       1    1.68311808050178e-61
                       1    3.65754187338265e-67
                       1    2.41265651342869e-73
                       1    4.33498169313985e-80
                       1    1.88514889002556e-87
                       1     1.7441762293627e-95
                       1   2.98302044652795e-104
                       1   8.08967827835592e-114
                       1   2.94274487938245e-124
                       1   1.19634646054501e-135
                       1   4.45431335616036e-148
                       1   1.22237962693796e-161
                       1     1.950954631309e-176
 long double
---------------
 k_max = 8.33754760725757
 h     = 0.130274181363399531
       0.202380538469470471       0.483595879692962437
