

 tanh_sinh
===============
 float
---------------
 k_max = 3.48552
 h     = 0.0544612
             -1    1.85736e-21
             -1    2.67098e-20
             -1    3.32631e-19
             -1    3.61483e-18
             -1    3.45297e-17
             -1    2.91912e-16
             -1    2.19831e-15
             -1    1.48382e-14
             -1    9.02924e-14
             -1    4.98084e-13
             -1    2.50383e-12
             -1    1.15269e-11
             -1    4.88264e-11
             -1    1.91151e-10
             -1    6.94546e-10
             -1    2.35159e-09
             -1    7.44739e-09
             -1    2.21404e-08
             -1    6.19985e-08
             -1    1.64056e-07
             -1    4.11474e-07
             -1    9.81049e-07
             -1    2.22963e-06
      -0.999999    4.84283e-06
      -0.999998    1.00778e-05
      -0.999995    2.01394e-05
       -0.99999    3.87357e-05
      -0.999981    7.18586e-05
      -0.999964     0.00012883
      -0.999935    0.000223645
      -0.999885    0.000376606
      -0.999801    0.000616235
      -0.999667    0.000981391
      -0.999455     0.00152351
      -0.999131     0.00230881
      -0.998647     0.00342035
      -0.997937     0.00495967
      -0.996918     0.00704798
      -0.995486     0.00982653
      -0.993507      0.0134561
      -0.990822      0.0181155
      -0.987239      0.0239985
      -0.982529      0.0313095
      -0.976431      0.0402579
      -0.968648      0.0510505
      -0.958846      0.0638818
      -0.946662      0.0789235
      -0.931705      0.0963116
      -0.913566       0.116132
      -0.891826       0.138408
      -0.866068       0.163081
      -0.835893           0.19
      -0.800938       0.218911
      -0.760891       0.249443
      -0.715516        0.28111
      -0.664667       0.313313
      -0.608313       0.345349
      -0.546546       0.376434
      -0.479603       0.405728
      -0.407861       0.432374
      -0.331847       0.455538
      -0.252223       0.474455
      -0.169774       0.488472
     -0.0853813       0.497091
              0            0.5
      0.0853813       0.497091
       0.169774       0.488472
       0.252223       0.474455
       0.331847       0.455538
       0.407861       0.432374
       0.479603       0.405728
       0.546546       0.376434
       0.608313       0.345349
       0.664667       0.313313
       0.715516        0.28111
       0.760891       0.249443
       0.800938       0.218911
       0.835893           0.19
       0.866068       0.163081
       0.891826       0.138408
       0.913566       0.116132
       0.931705      0.0963116
       0.946662      0.0789235
       0.958846      0.0638818
       0.968648      0.0510505
       0.976431      0.0402579
       0.982529      0.0313095
       0.987239      0.0239985
       0.990822      0.0181155
       0.993507      0.0134561
       0.995486     0.00982653
       0.996918     0.00704798
       0.997937     0.00495967
       0.998647     0.00342035
       0.999131     0.00230881
       0.999455     0.00152351
       0.999667    0.000981391
       0.999801    0.000616235
       0.999885    0.000376606
       0.999935    0.000223645
       0.999964    0.000128831
       0.999981    7.18586e-05
        0.99999    3.87357e-05
       0.999995    2.01394e-05
       0.999998    1.00778e-05
       0.999999    4.84283e-06
              1    2.22963e-06
              1    9.81049e-07
              1    4.11473e-07
              1    1.64055e-07
              1    6.19985e-08
              1    2.21404e-08
              1    7.44739e-09
              1     2.3516e-09
              1    6.94546e-10
              1    1.91151e-10
              1    4.88264e-11
              1    1.15269e-11
              1    2.50383e-12
              1    4.98084e-13
              1    9.02925e-14
              1    1.48382e-14
              1    2.19831e-15
              1    2.91911e-16
              1    3.45297e-17
              1    3.61483e-18
              1    3.32631e-19
              1    2.67099e-20
              1    1.85736e-21
 double
---------------
 k_max = 5.56495888501779
 h     = 0.0869524825784029
